---
title: Causes of Death in France from 1925 to 1999
source: The data is made available by INED <www.ined.fr> at
  <https://www.ined.fr/en/everything_about_population/data/online-databases/death_causes_since_1925/>
  The original data authors are Jacques Vallin <vallin@ined.fr> and France
  Meslé <mesle@ined.fr>.
variables:
    year : period calendar year
    sex  : -
    age  : age groups in years [a, b]
    cod  : cause of death category (ICD-9 code)
    dx   : number of deaths
note: The data was downloaded in June 2014 in the form of `html` tables made
  availabe by the INED web interface. It was then converted into `.csv` format
  and aggregated into the current form.
author: Jonas Schöley <jonas.schoeley@kolabnow.com>
date: 2015-08-19
...

year,sex,age,cod,dx
1934,female,5-9,460*-519*,422
1935,female,5-9,460*-519*,418
1936,female,5-9,460*-519*,364
1937,female,5-9,460*-519*,310
1938,female,5-9,460*-519*,338
1939,female,5-9,460*-519*,284
1940,female,5-9,460*-519*,335
1941,female,5-9,460*-519*,254
1942,female,5-9,460*-519*,223
1943,female,5-9,460*-519*,254
1944,female,5-9,460*-519*,221
1945,female,5-9,460*-519*,278
1946,female,5-9,460*-519*,171
1947,female,5-9,460*-519*,94
1948,female,5-9,460*-519*,67
1949,female,5-9,460*-519*,81
1950,female,5-9,460*-519*,44
1951,female,5-9,460*-519*,66
1952,female,5-9,460*-519*,55
1953,female,5-9,460*-519*,65
1954,female,5-9,460*-519*,48
1955,female,5-9,460*-519*,54
1956,female,5-9,460*-519*,63
1957,female,5-9,460*-519*,93
1958,female,5-9,460*-519*,48
1959,female,5-9,460*-519*,57
1960,female,5-9,460*-519*,38
1961,female,5-9,460*-519*,34
1962,female,5-9,460*-519*,38
1963,female,5-9,460*-519*,58
1964,female,5-9,460*-519*,30
1965,female,5-9,460*-519*,24
1966,female,5-9,460*-519*,28
1967,female,5-9,460*-519*,24
1968,female,5-9,460*-519*,31
1969,female,5-9,460*-519*,48
1970,female,5-9,460*-519*,40
1971,female,5-9,460*-519*,35
1972,female,5-9,460*-519*,39
1973,female,5-9,460*-519*,30
1974,female,5-9,460*-519*,26
1975,female,5-9,460*-519*,20
1976,female,5-9,460*-519*,15
1977,female,5-9,460*-519*,18
1978,female,5-9,460*-519*,20
1979,female,5-9,460*-519*,10
1980,female,5-9,460*-519*,10
1981,female,5-9,460*-519*,18
1982,female,5-9,460*-519*,11
1983,female,5-9,460*-519*,11
1984,female,5-9,460*-519*,9
1985,female,5-9,460*-519*,7
1986,female,5-9,460*-519*,12
1987,female,5-9,460*-519*,13
1988,female,5-9,460*-519*,17
1989,female,5-9,460*-519*,6
1990,female,5-9,460*-519*,9
1991,female,5-9,460*-519*,7
1992,female,5-9,460*-519*,6
1993,female,5-9,460*-519*,5
1994,female,5-9,460*-519*,8
1995,female,5-9,460*-519*,6
1996,female,5-9,460*-519*,5
1997,female,5-9,460*-519*,8
1998,female,5-9,460*-519*,7
1999,female,5-9,460*-519*,9
1925,female,10-14,460*-519*,269
1926,female,10-14,460*-519*,247
1927,female,10-14,460*-519*,247
1928,female,10-14,460*-519*,231
1929,female,10-14,460*-519*,215
1930,female,10-14,460*-519*,177
1931,female,10-14,460*-519*,212
1932,female,10-14,460*-519*,204
1933,female,10-14,460*-519*,236
1934,female,10-14,460*-519*,178
1935,female,10-14,460*-519*,242
1936,female,10-14,460*-519*,190
1937,female,10-14,460*-519*,171
1938,female,10-14,460*-519*,144
1939,female,10-14,460*-519*,130
1940,female,10-14,460*-519*,157
1941,female,10-14,460*-519*,144
1942,female,10-14,460*-519*,129
1943,female,10-14,460*-519*,140
1944,female,10-14,460*-519*,131
1945,female,10-14,460*-519*,128
1946,female,10-14,460*-519*,107
1947,female,10-14,460*-519*,61
1948,female,10-14,460*-519*,51
1949,female,10-14,460*-519*,55
1950,female,10-14,460*-519*,41
1951,female,10-14,460*-519*,40
1952,female,10-14,460*-519*,13
1953,female,10-14,460*-519*,46
1954,female,10-14,460*-519*,29
1955,female,10-14,460*-519*,28
1956,female,10-14,460*-519*,30
1957,female,10-14,460*-519*,65
1958,female,10-14,460*-519*,29
1959,female,10-14,460*-519*,38
1960,female,10-14,460*-519*,36
1961,female,10-14,460*-519*,27
1962,female,10-14,460*-519*,28
1963,female,10-14,460*-519*,26
1964,female,10-14,460*-519*,36
1965,female,10-14,460*-519*,20
1966,female,10-14,460*-519*,19
1967,female,10-14,460*-519*,23
1968,female,10-14,460*-519*,30
1969,female,10-14,460*-519*,44
1970,female,10-14,460*-519*,25
1971,female,10-14,460*-519*,28
1972,female,10-14,460*-519*,35
1973,female,10-14,460*-519*,27
1974,female,10-14,460*-519*,21
1975,female,10-14,460*-519*,19
1976,female,10-14,460*-519*,25
1977,female,10-14,460*-519*,14
1978,female,10-14,460*-519*,17
1979,female,10-14,460*-519*,21
1980,female,10-14,460*-519*,18
1981,female,10-14,460*-519*,19
1982,female,10-14,460*-519*,13
1983,female,10-14,460*-519*,14
1984,female,10-14,460*-519*,19
1985,female,10-14,460*-519*,15
1986,female,10-14,460*-519*,11
1987,female,10-14,460*-519*,13
1988,female,10-14,460*-519*,21
1989,female,10-14,460*-519*,12
1990,female,10-14,460*-519*,12
1991,female,10-14,460*-519*,16
1992,female,10-14,460*-519*,10
1993,female,10-14,460*-519*,15
1994,female,10-14,460*-519*,10
1995,female,10-14,460*-519*,9
1996,female,10-14,460*-519*,5
1997,female,10-14,460*-519*,7
1998,female,10-14,460*-519*,7
1999,female,10-14,460*-519*,10
1925,female,15-19,460*-519*,511
1926,female,15-19,460*-519*,513
1927,female,15-19,460*-519*,597
1928,female,15-19,460*-519*,524
1929,female,15-19,460*-519*,581
1930,female,15-19,460*-519*,426
1931,female,15-19,460*-519*,334
1932,female,15-19,460*-519*,302
1933,female,15-19,460*-519*,249
1934,female,15-19,460*-519*,155
1935,female,15-19,460*-519*,182
1936,female,15-19,460*-519*,203
1937,female,15-19,460*-519*,228
1938,female,15-19,460*-519*,223
1939,female,15-19,460*-519*,203
1940,female,15-19,460*-519*,220
1941,female,15-19,460*-519*,191
1942,female,15-19,460*-519*,167
1943,female,15-19,460*-519*,179
1944,female,15-19,460*-519*,191
1945,female,15-19,460*-519*,164
1946,female,15-19,460*-519*,117
1947,female,15-19,460*-519*,92
1948,female,15-19,460*-519*,89
1949,female,15-19,460*-519*,95
1950,female,15-19,460*-519*,71
1951,female,15-19,460*-519*,67
1952,female,15-19,460*-519*,50
1953,female,15-19,460*-519*,63
1954,female,15-19,460*-519*,28
1955,female,15-19,460*-519*,41
1956,female,15-19,460*-519*,34
1957,female,15-19,460*-519*,72
1958,female,15-19,460*-519*,24
1959,female,15-19,460*-519*,22
1960,female,15-19,460*-519*,28
1961,female,15-19,460*-519*,13
1962,female,15-19,460*-519*,37
1963,female,15-19,460*-519*,35
1964,female,15-19,460*-519*,20
1965,female,15-19,460*-519*,25
1966,female,15-19,460*-519*,33
1967,female,15-19,460*-519*,30
1968,female,15-19,460*-519*,40
1969,female,15-19,460*-519*,45
1970,female,15-19,460*-519*,32
1971,female,15-19,460*-519*,36
1972,female,15-19,460*-519*,39
1973,female,15-19,460*-519*,39
1974,female,15-19,460*-519*,46
1975,female,15-19,460*-519*,27
1976,female,15-19,460*-519*,24
1977,female,15-19,460*-519*,24
1978,female,15-19,460*-519*,27
1979,female,15-19,460*-519*,28
1980,female,15-19,460*-519*,26
1981,female,15-19,460*-519*,32
1982,female,15-19,460*-519*,16
1983,female,15-19,460*-519*,28
1984,female,15-19,460*-519*,23
1985,female,15-19,460*-519*,28
1986,female,15-19,460*-519*,20
1987,female,15-19,460*-519*,17
1988,female,15-19,460*-519*,28
1989,female,15-19,460*-519*,26
1990,female,15-19,460*-519*,23
1991,female,15-19,460*-519*,21
1992,female,15-19,460*-519*,13
1993,female,15-19,460*-519*,23
1994,female,15-19,460*-519*,18
1995,female,15-19,460*-519*,16
1996,female,15-19,460*-519*,18
1997,female,15-19,460*-519*,13
1998,female,15-19,460*-519*,18
1999,female,15-19,460*-519*,13
1925,female,20-24,460*-519*,640
1926,female,20-24,460*-519*,687
1927,female,20-24,460*-519*,718
1928,female,20-24,460*-519*,602
1929,female,20-24,460*-519*,676
1930,female,20-24,460*-519*,473
1931,female,20-24,460*-519*,546
1932,female,20-24,460*-519*,437
1933,female,20-24,460*-519*,433
1934,female,20-24,460*-519*,321
1935,female,20-24,460*-519*,354
1936,female,20-24,460*-519*,282
1937,female,20-24,460*-519*,250
1938,female,20-24,460*-519*,218
1939,female,20-24,460*-519*,182
1940,female,20-24,460*-519*,197
1941,female,20-24,460*-519*,158
1942,female,20-24,460*-519*,165
1943,female,20-24,460*-519*,224
1944,female,20-24,460*-519*,222
1945,female,20-24,460*-519*,197
1946,female,20-24,460*-519*,157
1947,female,20-24,460*-519*,119
1948,female,20-24,460*-519*,95
1949,female,20-24,460*-519*,103
1950,female,20-24,460*-519*,89
1951,female,20-24,460*-519*,86
1952,female,20-24,460*-519*,48
1953,female,20-24,460*-519*,64
1954,female,20-24,460*-519*,46
1955,female,20-24,460*-519*,50
1956,female,20-24,460*-519*,46
1957,female,20-24,460*-519*,82
1958,female,20-24,460*-519*,43
1959,female,20-24,460*-519*,33
1960,female,20-24,460*-519*,36
1961,female,20-24,460*-519*,29
1962,female,20-24,460*-519*,27
1963,female,20-24,460*-519*,19
1964,female,20-24,460*-519*,17
1965,female,20-24,460*-519*,22
1966,female,20-24,460*-519*,15
1967,female,20-24,460*-519*,33
1968,female,20-24,460*-519*,35
1969,female,20-24,460*-519*,54
1970,female,20-24,460*-519*,38
1971,female,20-24,460*-519*,34
1972,female,20-24,460*-519*,40
1973,female,20-24,460*-519*,43
1974,female,20-24,460*-519*,49
1975,female,20-24,460*-519*,51
1976,female,20-24,460*-519*,41
1977,female,20-24,460*-519*,38
1978,female,20-24,460*-519*,31
1979,female,20-24,460*-519*,16
1980,female,20-24,460*-519*,36
1981,female,20-24,460*-519*,30
1982,female,20-24,460*-519*,30
1983,female,20-24,460*-519*,36
1984,female,20-24,460*-519*,26
1985,female,20-24,460*-519*,29
1986,female,20-24,460*-519*,25
1987,female,20-24,460*-519*,22
1988,female,20-24,460*-519*,26
1989,female,20-24,460*-519*,30
1990,female,20-24,460*-519*,29
1991,female,20-24,460*-519*,24
1992,female,20-24,460*-519*,27
1993,female,20-24,460*-519*,24
1994,female,20-24,460*-519*,24
1995,female,20-24,460*-519*,23
1996,female,20-24,460*-519*,22
1997,female,20-24,460*-519*,18
1998,female,20-24,460*-519*,23
1999,female,20-24,460*-519*,17
1925,female,25-29,460*-519*,546
1926,female,25-29,460*-519*,677
1927,female,25-29,460*-519*,744
1928,female,25-29,460*-519*,617
1929,female,25-29,460*-519*,745
1930,female,25-29,460*-519*,521
1931,female,25-29,460*-519*,579
1932,female,25-29,460*-519*,447
1933,female,25-29,460*-519*,489
1934,female,25-29,460*-519*,375
1935,female,25-29,460*-519*,427
1936,female,25-29,460*-519*,351
1937,female,25-29,460*-519*,418
1938,female,25-29,460*-519*,410
1939,female,25-29,460*-519*,381
1940,female,25-29,460*-519*,262
1941,female,25-29,460*-519*,189
1942,female,25-29,460*-519*,143
1943,female,25-29,460*-519*,139
1944,female,25-29,460*-519*,166
1945,female,25-29,460*-519*,162
1946,female,25-29,460*-519*,155
1947,female,25-29,460*-519*,94
1948,female,25-29,460*-519*,117
1949,female,25-29,460*-519*,124
1950,female,25-29,460*-519*,76
1951,female,25-29,460*-519*,122
1952,female,25-29,460*-519*,70
1953,female,25-29,460*-519*,74
1954,female,25-29,460*-519*,60
1955,female,25-29,460*-519*,48
1956,female,25-29,460*-519*,53
1957,female,25-29,460*-519*,96
1958,female,25-29,460*-519*,41
1959,female,25-29,460*-519*,50
1960,female,25-29,460*-519*,63
1961,female,25-29,460*-519*,23
1962,female,25-29,460*-519*,36
1963,female,25-29,460*-519*,37
1964,female,25-29,460*-519*,21
1965,female,25-29,460*-519*,27
1966,female,25-29,460*-519*,28
1967,female,25-29,460*-519*,26
1968,female,25-29,460*-519*,20
1969,female,25-29,460*-519*,54
1970,female,25-29,460*-519*,28
1971,female,25-29,460*-519*,29
1972,female,25-29,460*-519*,32
1973,female,25-29,460*-519*,42
1974,female,25-29,460*-519*,49
1975,female,25-29,460*-519*,48
1976,female,25-29,460*-519*,37
1977,female,25-29,460*-519*,32
1978,female,25-29,460*-519*,37
1979,female,25-29,460*-519*,32
1980,female,25-29,460*-519*,37
1981,female,25-29,460*-519*,30
1982,female,25-29,460*-519*,33
1983,female,25-29,460*-519*,33
1984,female,25-29,460*-519*,34
1985,female,25-29,460*-519*,38
1986,female,25-29,460*-519*,31
1987,female,25-29,460*-519*,31
1988,female,25-29,460*-519*,45
1989,female,25-29,460*-519*,27
1990,female,25-29,460*-519*,23
1991,female,25-29,460*-519*,43
1992,female,25-29,460*-519*,26
1993,female,25-29,460*-519*,32
1994,female,25-29,460*-519*,24
1995,female,25-29,460*-519*,18
1996,female,25-29,460*-519*,23
1997,female,25-29,460*-519*,24
1998,female,25-29,460*-519*,30
1999,female,25-29,460*-519*,24
1925,female,30-34,460*-519*,629
1926,female,30-34,460*-519*,703
1927,female,30-34,460*-519*,854
1928,female,30-34,460*-519*,660
1929,female,30-34,460*-519*,822
1930,female,30-34,460*-519*,581
1931,female,30-34,460*-519*,654
1932,female,30-34,460*-519*,554
1933,female,30-34,460*-519*,614
1934,female,30-34,460*-519*,439
1935,female,30-34,460*-519*,507
1936,female,30-34,460*-519*,436
1937,female,30-34,460*-519*,394
1938,female,30-34,460*-519*,394
1939,female,30-34,460*-519*,319
1940,female,30-34,460*-519*,393
1941,female,30-34,460*-519*,258
1942,female,30-34,460*-519*,259
1943,female,30-34,460*-519*,251
1944,female,30-34,460*-519*,313
1945,female,30-34,460*-519*,247
1946,female,30-34,460*-519*,165
1947,female,30-34,460*-519*,101
1948,female,30-34,460*-519*,95
1949,female,30-34,460*-519*,90
1950,female,30-34,460*-519*,78
1951,female,30-34,460*-519*,104
1952,female,30-34,460*-519*,79
1953,female,30-34,460*-519*,111
1954,female,30-34,460*-519*,79
1955,female,30-34,460*-519*,68
1956,female,30-34,460*-519*,67
1957,female,30-34,460*-519*,95
1958,female,30-34,460*-519*,46
1959,female,30-34,460*-519*,65
1960,female,30-34,460*-519*,64
1961,female,30-34,460*-519*,42
1962,female,30-34,460*-519*,54
1963,female,30-34,460*-519*,60
1964,female,30-34,460*-519*,40
1965,female,30-34,460*-519*,42
1966,female,30-34,460*-519*,46
1967,female,30-34,460*-519*,35
1968,female,30-34,460*-519*,36
1969,female,30-34,460*-519*,69
1970,female,30-34,460*-519*,38
1971,female,30-34,460*-519*,44
1972,female,30-34,460*-519*,41
1973,female,30-34,460*-519*,20
1974,female,30-34,460*-519*,38
1975,female,30-34,460*-519*,37
1976,female,30-34,460*-519*,34
1977,female,30-34,460*-519*,37
1978,female,30-34,460*-519*,46
1979,female,30-34,460*-519*,41
1980,female,30-34,460*-519*,35
1981,female,30-34,460*-519*,51
1982,female,30-34,460*-519*,24
1983,female,30-34,460*-519*,35
1984,female,30-34,460*-519*,35
1985,female,30-34,460*-519*,46
1986,female,30-34,460*-519*,40
1987,female,30-34,460*-519*,31
1988,female,30-34,460*-519*,47
1989,female,30-34,460*-519*,36
1990,female,30-34,460*-519*,33
1991,female,30-34,460*-519*,40
1992,female,30-34,460*-519*,36
1993,female,30-34,460*-519*,29
1994,female,30-34,460*-519*,42
1995,female,30-34,460*-519*,34
1996,female,30-34,460*-519*,37
1997,female,30-34,460*-519*,26
1998,female,30-34,460*-519*,25
1999,female,30-34,460*-519*,34
1925,female,35-39,460*-519*,656
1926,female,35-39,460*-519*,800
1927,female,35-39,460*-519*,865
1928,female,35-39,460*-519*,639
1929,female,35-39,460*-519*,925
1930,female,35-39,460*-519*,620
1931,female,35-39,460*-519*,690
1932,female,35-39,460*-519*,608
1933,female,35-39,460*-519*,683
1934,female,35-39,460*-519*,504
1935,female,35-39,460*-519*,681
1936,female,35-39,460*-519*,518
1937,female,35-39,460*-519*,539
1938,female,35-39,460*-519*,536
1939,female,35-39,460*-519*,475
1940,female,35-39,460*-519*,474
1941,female,35-39,460*-519*,327
1942,female,35-39,460*-519*,295
1943,female,35-39,460*-519*,284
1944,female,35-39,460*-519*,327
1945,female,35-39,460*-519*,264
1946,female,35-39,460*-519*,248
1947,female,35-39,460*-519*,154
1948,female,35-39,460*-519*,160
1949,female,35-39,460*-519*,173
1950,female,35-39,460*-519*,130
1951,female,35-39,460*-519*,143
1952,female,35-39,460*-519*,73
1953,female,35-39,460*-519*,98
1954,female,35-39,460*-519*,42
1955,female,35-39,460*-519*,47
1956,female,35-39,460*-519*,82
1957,female,35-39,460*-519*,114
1958,female,35-39,460*-519*,49
1959,female,35-39,460*-519*,90
1960,female,35-39,460*-519*,93
1961,female,35-39,460*-519*,50
1962,female,35-39,460*-519*,56
1963,female,35-39,460*-519*,60
1964,female,35-39,460*-519*,62
1965,female,35-39,460*-519*,70
1966,female,35-39,460*-519*,42
1967,female,35-39,460*-519*,43
1968,female,35-39,460*-519*,52
1969,female,35-39,460*-519*,118
1970,female,35-39,460*-519*,65
1971,female,35-39,460*-519*,65
1972,female,35-39,460*-519*,71
1973,female,35-39,460*-519*,49
1974,female,35-39,460*-519*,51
1975,female,35-39,460*-519*,50
1976,female,35-39,460*-519*,49
1977,female,35-39,460*-519*,43
1978,female,35-39,460*-519*,51
1979,female,35-39,460*-519*,31
1980,female,35-39,460*-519*,33
1981,female,35-39,460*-519*,42
1982,female,35-39,460*-519*,41
1983,female,35-39,460*-519*,47
1984,female,35-39,460*-519*,49
1985,female,35-39,460*-519*,64
1986,female,35-39,460*-519*,73
1987,female,35-39,460*-519*,56
1988,female,35-39,460*-519*,76
1989,female,35-39,460*-519*,57
1990,female,35-39,460*-519*,40
1991,female,35-39,460*-519*,50
1992,female,35-39,460*-519*,48
1993,female,35-39,460*-519*,38
1994,female,35-39,460*-519*,38
1995,female,35-39,460*-519*,37
1996,female,35-39,460*-519*,49
1997,female,35-39,460*-519*,53
1998,female,35-39,460*-519*,50
1999,female,35-39,460*-519*,42
1925,female,40-44,460*-519*,795
1926,female,40-44,460*-519*,926
1927,female,40-44,460*-519*,1021
1928,female,40-44,460*-519*,826
1929,female,40-44,460*-519*,1151
1930,female,40-44,460*-519*,759
1931,female,40-44,460*-519*,838
1932,female,40-44,460*-519*,664
1933,female,40-44,460*-519*,818
1934,female,40-44,460*-519*,546
1935,female,40-44,460*-519*,740
1936,female,40-44,460*-519*,590
1937,female,40-44,460*-519*,660
1938,female,40-44,460*-519*,741
1939,female,40-44,460*-519*,623
1940,female,40-44,460*-519*,562
1941,female,40-44,460*-519*,420
1942,female,40-44,460*-519*,372
1943,female,40-44,460*-519*,388
1944,female,40-44,460*-519*,453
1945,female,40-44,460*-519*,384
1946,female,40-44,460*-519*,300
1947,female,40-44,460*-519*,205
1948,female,40-44,460*-519*,188
1949,female,40-44,460*-519*,244
1950,female,40-44,460*-519*,175
1951,female,40-44,460*-519*,221
1952,female,40-44,460*-519*,124
1953,female,40-44,460*-519*,211
1954,female,40-44,460*-519*,120
1955,female,40-44,460*-519*,110
1956,female,40-44,460*-519*,103
1957,female,40-44,460*-519*,133
1958,female,40-44,460*-519*,57
1959,female,40-44,460*-519*,55
1960,female,40-44,460*-519*,86
1961,female,40-44,460*-519*,59
1962,female,40-44,460*-519*,77
1963,female,40-44,460*-519*,89
1964,female,40-44,460*-519*,89
1965,female,40-44,460*-519*,70
1966,female,40-44,460*-519*,62
1967,female,40-44,460*-519*,75
1968,female,40-44,460*-519*,109
1969,female,40-44,460*-519*,170
1970,female,40-44,460*-519*,112
1971,female,40-44,460*-519*,87
1972,female,40-44,460*-519*,79
1973,female,40-44,460*-519*,101
1974,female,40-44,460*-519*,104
1975,female,40-44,460*-519*,100
1976,female,40-44,460*-519*,81
1977,female,40-44,460*-519*,73
1978,female,40-44,460*-519*,73
1979,female,40-44,460*-519*,42
1980,female,40-44,460*-519*,65
1981,female,40-44,460*-519*,60
1982,female,40-44,460*-519*,37
1983,female,40-44,460*-519*,54
1984,female,40-44,460*-519*,42
1985,female,40-44,460*-519*,32
1986,female,40-44,460*-519*,78
1987,female,40-44,460*-519*,45
1988,female,40-44,460*-519*,71
1989,female,40-44,460*-519*,56
1990,female,40-44,460*-519*,67
1991,female,40-44,460*-519*,68
1992,female,40-44,460*-519*,73
1993,female,40-44,460*-519*,77
1994,female,40-44,460*-519*,63
1995,female,40-44,460*-519*,75
1996,female,40-44,460*-519*,72
1997,female,40-44,460*-519*,90
1998,female,40-44,460*-519*,79
1999,female,40-44,460*-519*,68
1925,female,45-49,460*-519*,941
1926,female,45-49,460*-519*,1021
1927,female,45-49,460*-519*,1189
1928,female,45-49,460*-519*,899
1929,female,45-49,460*-519*,1376
1930,female,45-49,460*-519*,927
1931,female,45-49,460*-519*,1032
1932,female,45-49,460*-519*,798
1933,female,45-49,460*-519*,1017
1934,female,45-49,460*-519*,692
1935,female,45-49,460*-519*,837
1936,female,45-49,460*-519*,710
1937,female,45-49,460*-519*,727
1938,female,45-49,460*-519*,740
1939,female,45-49,460*-519*,759
1940,female,45-49,460*-519*,758
1941,female,45-49,460*-519*,579
1942,female,45-49,460*-519*,494
1943,female,45-49,460*-519*,464
1944,female,45-49,460*-519*,528
1945,female,45-49,460*-519*,447
1946,female,45-49,460*-519*,351
1947,female,45-49,460*-519*,293
1948,female,45-49,460*-519*,279
1949,female,45-49,460*-519*,345
1950,female,45-49,460*-519*,258
1951,female,45-49,460*-519*,306
1952,female,45-49,460*-519*,228
1953,female,45-49,460*-519*,288
1954,female,45-49,460*-519*,186
1955,female,45-49,460*-519*,165
1956,female,45-49,460*-519*,205
1957,female,45-49,460*-519*,210
1958,female,45-49,460*-519*,136
1959,female,45-49,460*-519*,143
1960,female,45-49,460*-519*,175
1961,female,45-49,460*-519*,97
1962,female,45-49,460*-519*,101
1963,female,45-49,460*-519*,99
1964,female,45-49,460*-519*,60
1965,female,45-49,460*-519*,78
1966,female,45-49,460*-519*,74
1967,female,45-49,460*-519*,112
1968,female,45-49,460*-519*,158
1969,female,45-49,460*-519*,285
1970,female,45-49,460*-519*,129
1971,female,45-49,460*-519*,150
1972,female,45-49,460*-519*,169
1973,female,45-49,460*-519*,140
1974,female,45-49,460*-519*,139
1975,female,45-49,460*-519*,128
1976,female,45-49,460*-519*,126
1977,female,45-49,460*-519*,121
1978,female,45-49,460*-519*,118
1979,female,45-49,460*-519*,103
1980,female,45-49,460*-519*,102
1981,female,45-49,460*-519*,93
1982,female,45-49,460*-519*,80
1983,female,45-49,460*-519*,93
1984,female,45-49,460*-519*,74
1985,female,45-49,460*-519*,102
1986,female,45-49,460*-519*,82
1987,female,45-49,460*-519*,62
1988,female,45-49,460*-519*,65
1989,female,45-49,460*-519*,64
1990,female,45-49,460*-519*,50
1991,female,45-49,460*-519*,72
1992,female,45-49,460*-519*,69
1993,female,45-49,460*-519*,83
1994,female,45-49,460*-519*,78
1995,female,45-49,460*-519*,116
1996,female,45-49,460*-519*,113
1997,female,45-49,460*-519*,107
1998,female,45-49,460*-519*,92
1999,female,45-49,460*-519*,99
1925,female,50-54,460*-519*,1171
1926,female,50-54,460*-519*,1315
1927,female,50-54,460*-519*,1548
1928,female,50-54,460*-519*,1270
1929,female,50-54,460*-519*,1873
1930,female,50-54,460*-519*,1153
1931,female,50-54,460*-519*,1243
1932,female,50-54,460*-519*,1018
1933,female,50-54,460*-519*,1162
1934,female,50-54,460*-519*,837
1935,female,50-54,460*-519*,1057
1936,female,50-54,460*-519*,944
1937,female,50-54,460*-519*,898
1938,female,50-54,460*-519*,811
1939,female,50-54,460*-519*,754
1940,female,50-54,460*-519*,1022
1941,female,50-54,460*-519*,679
1942,female,50-54,460*-519*,634
1943,female,50-54,460*-519*,636
1944,female,50-54,460*-519*,749
1945,female,50-54,460*-519*,626
1946,female,50-54,460*-519*,466
1947,female,50-54,460*-519*,411
1948,female,50-54,460*-519*,376
1949,female,50-54,460*-519*,517
1950,female,50-54,460*-519*,398
1951,female,50-54,460*-519*,469
1952,female,50-54,460*-519*,328
1953,female,50-54,460*-519*,414
1954,female,50-54,460*-519*,300
1955,female,50-54,460*-519*,266
1956,female,50-54,460*-519*,269
1957,female,50-54,460*-519*,366
1958,female,50-54,460*-519*,209
1959,female,50-54,460*-519*,234
1960,female,50-54,460*-519*,276
1961,female,50-54,460*-519*,155
1962,female,50-54,460*-519*,204
1963,female,50-54,460*-519*,238
1964,female,50-54,460*-519*,155
1965,female,50-54,460*-519*,179
1966,female,50-54,460*-519*,115
1967,female,50-54,460*-519*,131
1968,female,50-54,460*-519*,144
1969,female,50-54,460*-519*,224
1970,female,50-54,460*-519*,135
1971,female,50-54,460*-519*,149
1972,female,50-54,460*-519*,175
1973,female,50-54,460*-519*,197
1974,female,50-54,460*-519*,211
1975,female,50-54,460*-519*,198
1976,female,50-54,460*-519*,201
1977,female,50-54,460*-519*,161
1978,female,50-54,460*-519*,186
1979,female,50-54,460*-519*,124
1980,female,50-54,460*-519*,140
1981,female,50-54,460*-519*,144
1982,female,50-54,460*-519*,164
1983,female,50-54,460*-519*,141
1984,female,50-54,460*-519*,138
1985,female,50-54,460*-519*,176
1986,female,50-54,460*-519*,162
1987,female,50-54,460*-519*,150
1988,female,50-54,460*-519*,120
1989,female,50-54,460*-519*,126
1990,female,50-54,460*-519*,108
1991,female,50-54,460*-519*,103
1992,female,50-54,460*-519*,109
1993,female,50-54,460*-519*,115
1994,female,50-54,460*-519*,86
1995,female,50-54,460*-519*,98
1996,female,50-54,460*-519*,122
1997,female,50-54,460*-519*,107
1998,female,50-54,460*-519*,136
1999,female,50-54,460*-519*,144
1925,female,55-59,460*-519*,1657
1926,female,55-59,460*-519*,1693
1927,female,55-59,460*-519*,1928
1928,female,55-59,460*-519*,1708
1929,female,55-59,460*-519*,2367
1930,female,55-59,460*-519*,1632
1931,female,55-59,460*-519*,1821
1932,female,55-59,460*-519*,1551
1933,female,55-59,460*-519*,1734
1934,female,55-59,460*-519*,1263
1935,female,55-59,460*-519*,1445
1936,female,55-59,460*-519*,1238
1937,female,55-59,460*-519*,1347
1938,female,55-59,460*-519*,1346
1939,female,55-59,460*-519*,1201
1940,female,55-59,460*-519*,1530
1941,female,55-59,460*-519*,1036
1942,female,55-59,460*-519*,1042
1943,female,55-59,460*-519*,973
1944,female,55-59,460*-519*,1154
1945,female,55-59,460*-519*,876
1946,female,55-59,460*-519*,747
1947,female,55-59,460*-519*,597
1948,female,55-59,460*-519*,532
1949,female,55-59,460*-519*,773
1950,female,55-59,460*-519*,568
1951,female,55-59,460*-519*,760
1952,female,55-59,460*-519*,472
1953,female,55-59,460*-519*,703
1954,female,55-59,460*-519*,485
1955,female,55-59,460*-519*,455
1956,female,55-59,460*-519*,454
1957,female,55-59,460*-519*,625
1958,female,55-59,460*-519*,372
1959,female,55-59,460*-519*,391
1960,female,55-59,460*-519*,405
1961,female,55-59,460*-519*,285
1962,female,55-59,460*-519*,332
1963,female,55-59,460*-519*,376
1964,female,55-59,460*-519*,261
1965,female,55-59,460*-519*,295
1966,female,55-59,460*-519*,237
1967,female,55-59,460*-519*,236
1968,female,55-59,460*-519*,346
1969,female,55-59,460*-519*,541
1970,female,55-59,460*-519*,280
1971,female,55-59,460*-519*,237
1972,female,55-59,460*-519*,223
1973,female,55-59,460*-519*,224
1974,female,55-59,460*-519*,177
1975,female,55-59,460*-519*,182
1976,female,55-59,460*-519*,246
1977,female,55-59,460*-519*,240
1978,female,55-59,460*-519*,275
1979,female,55-59,460*-519*,256
1980,female,55-59,460*-519*,257
1981,female,55-59,460*-519*,211
1982,female,55-59,460*-519*,214
1983,female,55-59,460*-519*,248
1984,female,55-59,460*-519*,210
1985,female,55-59,460*-519*,217
